case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3124708,,2021-WTW-4606-OE,,,TX,Sherman County,48421,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.627533,36.432621
3123806,48-194533,2021-WTW-4858-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.468857,36.32188
3120068,48-192380,2021-WTW-4755-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.530037,36.281284
3123555,48-192888,2021-WTW-4764-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.463722,36.285866
3123623,48-194832,2021-WTW-4697-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.517487,36.379028
3124155,48-194687,2021-WTW-4817-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.46347,36.356285
3125489,,2021-WTW-4628-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.621185,36.404324
3125401,,2021-WTW-4561-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.502998,36.483204
3119990,48-192692,2021-WTW-4745-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.589615,36.284824
3124074,48-194835,2021-WTW-4840-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.409943,36.344692
3123856,48-192879,2021-WTW-4712-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.504181,36.344002
3123834,48-194528,2021-WTW-4856-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.363205,36.330093
